power_dBm,sinad_mean_dB,sinad_std_dB
-125.0,-5.970717960519932,1.1673550885836592
-124.4,-4.950017478969092,1.1855883419576874
-123.8,-3.8234883863135627,1.1509778449980717
-123.2,-2.869262796305039,1.006011051329561
-122.6,-2.02990959711613,0.9839670009350103
-122.0,-1.2037279521636857,0.9149058995010573
-121.4,-0.12915553908760502,0.867114887133824
-120.8,0.545478068841188,0.898349651442399
-120.2,1.2235470599808083,0.8985284902837436
-119.6,1.9394593715697002,0.959426962018588
-119.0,2.6262092087679605,0.8687323776345004
-118.4,3.5137925147637983,0.9272412684076732
-117.8,4.339147818245846,0.8223427858715889
-117.2,5.267616981693294,0.9290990695264169
-116.6,6.27866131694805,0.9858032256879173
-116.0,7.304433679321636,1.1274174248674715
-115.4,8.320552375676588,1.0775278295310573
-114.8,9.36956393051155,1.257339176388583
-114.2,10.567086120536946,1.3992557440447568
-113.6,11.463988334794061,1.3448838331245312
-113.0,13.049954488911713,1.6289448290577169
-112.4,14.043482812084108,1.831479953561677
-111.8,14.922790806674158,1.8543067364722532
-111.2,16.571194233414694,2.0407966544058183
-110.6,18.528973283853347,2.047202528377004
-110.0,19.61342358447555,1.9018328522176204
-109.4,21.044505032890832,1.5963871527977305
-108.8,22.111605295293344,1.184088444464262
-108.2,23.029412822486663,1.33196299476787
-107.6,23.882628713801907,1.1179373300432196
-107.0,24.661202297660715,1.0357097946179898
-106.4,25.395047029043,0.6980043158683253
-105.8,26.02676143334745,0.6001436431822709
-105.2,26.49914407574893,0.5895977281410429
-104.6,26.87270906784493,0.5466159716614027
-104.0,27.141069662108293,0.44149843879373196
-103.4,27.49289187484382,0.34632013662278666
-102.8,27.764130292838065,0.30133634920491864
-102.2,27.945434904831444,0.28938885117439117
-101.6,28.10630414693049,0.21793324119061439
-101.0,28.30208750504172,0.23350090317471542
-100.4,28.466550843918768,0.19795908949690427
-99.8,28.556864176919763,0.17135532286159758
-99.2,28.580475693267793,0.16159965905337006
-98.6,28.611290374620012,0.13753968770651756
-98.0,28.546735952276222,0.12553335234409416
-97.4,28.566385434581633,0.13422165520622337
-96.8,28.48792873661272,0.2859116655892732
-96.2,28.50229977699257,0.10890120509439605
-95.6,28.45078239629337,0.10096154558711525
-95.0,28.39771088334998,0.09495511415942091
